id_detalles,referencia,estado,codigo_categoria_principal,descripcion_proceso,tipo_contrato,modalidad_contratacion,justificacion_modalidad
13031438-7545-46b7-866d-489fe3cd1df9,PE-CE-124-2025,Cerrado,V1.86132000,AUNAR ESFUERZOS ACADÉMICOS ENTRE LA PERSONERÍA MUNICIPAL DE PEREIRA Y LA UNIVERSIDAD LIBRE SECCIONAL PEREIRA - FACULTAD DE DERECHO; CIENCIAS POLÍTICAS Y SOCIALES; PARA EL DESARROLLO Y EJECUCIÓN DE LA JORNADA DE FORMACIÓN DEL MINISTERIO PÚBLICO - DENTRO DEL PLAN ESTRATÉGICO INSTITUCIONAL DE LA PERSO,Decreto 092 de 2017,Contratación régimen especial,Decreto 092 de 2017
1dd1e1a0-7392-4979-9537-fc0339150fef,CO1.PCCNTR.5846057,Cerrado,V1.86101501,PRESTAR SERVICIOS PERSONALES DE CARÁCTER TEMPORAL COMO INSTRUCTOR PARA PLANEAR Y ORIENTAR LA FORMACIÓN PROFESIONAL INTEGRAL EN LA RED DE CONOCIMIENTO AGRICOLA - AREA TEMATICA AGROINDUSTRIAL - CONTROL DE CALIDAD E INOCUIDAD - PROCESAMIENTO DE ALIMENTOS - CARNICOS Y DERIVADOS - FRUTAS Y VERDURAS - LÁC,Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
0ffaf4b5-bb6b-4893-a6fc-6d8eb21274e9,202000000673,Cerrado,V1.80111600,EL CONTRATISTA SE OBLIGA CON EL DEPARTAMENTO DE CAQUETÁ; A PRESTAR POR SUS PROPIOS MEDIOS CON PLENA AUTONOMÍA TÉCNICA Y ADMINISTRATIVA LOS SERVICIOS PROFESIONALES PARA FORTALECER LA AUTORIDAD SANITARIA EN LA PLANEACIÓN E IMPLEMENTACIÓN DE ESTRATEGIAS QUE PROPENDEN POR LA SEGURIDAD ALIMENTARIA Y NUTR,Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
6e38f0ec-2a95-4489-9adb-dd34d7533b42,CO1.PCCNTR.8627960,Modificado,V1.44121701,"PRESTAR DE MANERA INTEGRAL LOS SERVICIOS DE OPERADOR LOGÍSTICO PARA
LA EJECUCIÓN DEL EVENTO DE DIVULGACIÓN TECNOLÓGICA Y LA FERIA DE
ECONOMÍA POPULAR; EN EL MARCO DE LA ESTRATEGIA DE FORMACIÓN
CONTINUA ESPECIAL POPULAR - FCEP DEL SERVICIO NACIONAL DE APRENDIZAJE
- SENA",Prestación de servicios,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía
7d97dfa5-9a99-4408-9a18-9fbae40f0a58,2388 DE 2024,En ejecución,V1.80111600,"PRESTAR POR SUS PROPIOS MEDIOS; CON PLENA AUTONOMÍA TÉCNICA; ADMINISTRATIVA Y FINANCIERA; SUS SERVICIOS
PROFESIONALES VICEMINISTERIO PARA EL DIALOGO SOCIAL Y LOS DERECHOS HUMANOS BRINDANDO APOYO EN EL PROCESO DE PLANEACIÓN ESTRATÉGICA DE LAS MESAS Y LOS ESPACIOS DE DIÁLOGO TERRITORIAL A CARGO DEL DE",Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
98032492-7b62-4bb2-bad1-128ce226e2ec,CPS-041-2025,En ejecución,V1.80111600,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA EL DESARROLLO DE ACTIVIDADES ASISTENCIALES; OPERATIVAS Y REALIZACIÓN DE ENCUENTROS PEDAGÓGICOS DEL PROGRAMA RENTA CIUDADANA,Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
05c515d4-ab98-4f61-95af-f3d48788dd18,CO1.PCCNTR.8806138,En ejecución,V1.80111701,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA RESPALDAR A LA SECRETARÍA DE PLANEACIÓN Y DESARROLLO TERRITORIAL Y A LAS DEMÁS DEPENDENCIAS DE LA ADMINISTRACIÓN MUNICIPAL EN LAS LABORES LOGÍSTICAS DE REPARTO; ENTREGA Y NOTIFICACIÓN DE DOCUMENTACIÓN; CORRESPONDENCIA Y COMUNICACIONES OFICIALES DENT,Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
380d0891-9a5b-499c-bd42-3d70263571f2,CD-SPPEE-01297-2026,En ejecución,V1.80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ARQUITECTO EN LA SECRETARÍA DE PROGRAMAS Y PROYECTOS ESTRATÉGICOS Y ESPECIALES; EN LA GOBERNACIÓN DE NORTE DE SANTANDER,Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
4b185bc1-f87b-4f7f-801d-fbe59d89db7f,OPS-PNITA-113-2025,terminado,V1.80111600,PRESTAR LOS SERVICIOS DE APOYO A LA GESTION EN EL DESARROLLO DE ACCIONES DEL COMPONENTE DE ENFERMEDADES INMUNO PREVENIBLES DE LA DIMENSION VIDA SALUDABLE Y ENFERMEDADES TRANSMISIBLES INCLUYENDO PLAN DE ACCION ETV QUE SON COMPETENCIA TERRITORIAL EN EL MUNICIPIO DE PAMPLONITA NORTE DE SANTANDER,Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
6700275a-a20a-475c-acc4-2facba13e173,PS-3015 DE 2021,Cerrado,V1.80111600,PRESTACIÓN DE SERVICIOS PROFESIONALES; COMO CONTRATISTA INDEPENDIENTE SIN VÍNCULO LABORAL POR SU PROPIA CUENTA Y RIESGO; PARA DESARROLLAR ACCIONES REQUERIDAS EN CUMPLIMIENTO DE LAS OBLIGACIONES CONTRAÍDAS EN EL CONTRATO INTERADMINISTRATIVO 4600090839 DE 2021; CELEBRADO ENTRE EL MUNICIPIO DE MEDELLÍN,Prestación de servicios,Contratación directa,Servicios profesionales y apoyo a la gestión
