fecha,año,mes,día
2017-06-29,2017,6,29
2017-09-06,2017,9,6
2017-11-30,2017,11,30
2017-12-02,2017,12,2
2017-12-10,2017,12,10
2017-12-22,2017,12,22
2018-03-30,2018,3,30
2018-04-11,2018,4,11
2018-04-30,2018,4,30
2018-06-30,2018,6,30
2018-07-05,2018,7,5
2018-07-15,2018,7,15
2018-07-17,2018,7,17
2018-07-25,2018,7,25
2018-08-19,2018,8,19
2018-08-20,2018,8,20
2018-09-02,2018,9,2
2018-09-09,2018,9,9
2018-10-06,2018,10,6
2018-10-07,2018,10,7
2018-10-30,2018,10,30
2018-10-31,2018,10,31
2018-11-05,2018,11,5
2018-11-14,2018,11,14
2018-11-20,2018,11,20
2018-11-26,2018,11,26
2018-11-30,2018,11,30
2018-12-14,2018,12,14
2018-12-15,2018,12,15
2018-12-16,2018,12,16
2018-12-20,2018,12,20
2018-12-22,2018,12,22
2018-12-25,2018,12,25
2018-12-26,2018,12,26
2018-12-30,2018,12,30
2018-12-31,2018,12,31
2019-01-27,2019,1,27
2019-01-31,2019,1,31
2019-02-02,2019,2,2
2019-02-16,2019,2,16
2019-03-03,2019,3,3
2019-03-11,2019,3,11
2019-04-22,2019,4,22
2019-04-30,2019,4,30
2019-05-31,2019,5,31
2019-06-03,2019,6,3
2019-06-07,2019,6,7
2019-06-28,2019,6,28
2019-06-30,2019,6,30
2019-08-05,2019,8,5
2019-08-11,2019,8,11
2019-08-12,2019,8,12
2019-09-04,2019,9,4
2019-10-31,2019,10,31
2019-11-03,2019,11,3
2019-11-16,2019,11,16
2019-11-21,2019,11,21
2019-11-24,2019,11,24
2019-11-30,2019,11,30
2019-12-11,2019,12,11
2019-12-13,2019,12,13
2019-12-15,2019,12,15
2019-12-17,2019,12,17
2019-12-20,2019,12,20
2019-12-26,2019,12,26
2019-12-31,2019,12,31
2020-01-15,2020,1,15
2020-01-25,2020,1,25
2020-01-31,2020,1,31
2020-02-28,2020,2,28
2020-02-29,2020,2,29
2020-03-03,2020,3,3
2020-03-15,2020,3,15
2020-03-30,2020,3,30
2020-03-31,2020,3,31
2020-04-30,2020,4,30
2020-05-30,2020,5,30
2020-06-03,2020,6,3
2020-06-30,2020,6,30
2020-07-05,2020,7,5
2020-07-15,2020,7,15
2020-07-31,2020,7,31
2020-08-08,2020,8,8
2020-08-13,2020,8,13
2020-08-31,2020,8,31
2020-10-09,2020,10,9
2020-10-15,2020,10,15
2020-10-21,2020,10,21
2020-10-29,2020,10,29
2020-10-31,2020,10,31
2020-11-06,2020,11,6
2020-11-08,2020,11,8
2020-11-15,2020,11,15
2020-11-21,2020,11,21
2020-11-25,2020,11,25
2020-11-30,2020,11,30
2020-12-02,2020,12,2
2020-12-04,2020,12,4
2020-12-07,2020,12,7
2020-12-09,2020,12,9
2020-12-10,2020,12,10
2020-12-12,2020,12,12
2020-12-14,2020,12,14
2020-12-15,2020,12,15
2020-12-16,2020,12,16
2020-12-18,2020,12,18
2020-12-21,2020,12,21
2020-12-22,2020,12,22
2020-12-24,2020,12,24
2020-12-25,2020,12,25
2020-12-27,2020,12,27
2020-12-28,2020,12,28
2020-12-29,2020,12,29
2020-12-30,2020,12,30
2020-12-31,2020,12,31
2021-01-05,2021,1,5
2021-01-10,2021,1,10
2021-01-12,2021,1,12
2021-01-15,2021,1,15
2021-01-20,2021,1,20
2021-01-21,2021,1,21
2021-01-27,2021,1,27
2021-01-31,2021,1,31
2021-02-09,2021,2,9
2021-02-12,2021,2,12
2021-02-18,2021,2,18
2021-02-27,2021,2,27
2021-02-28,2021,2,28
2021-03-01,2021,3,1
2021-03-18,2021,3,18
2021-03-22,2021,3,22
2021-03-26,2021,3,26
2021-03-31,2021,3,31
2021-04-30,2021,4,30
2021-05-03,2021,5,3
2021-05-31,2021,5,31
2021-06-09,2021,6,9
2021-06-15,2021,6,15
2021-06-30,2021,6,30
2021-07-07,2021,7,7
2021-07-08,2021,7,8
2021-07-12,2021,7,12
2021-07-15,2021,7,15
2021-07-23,2021,7,23
2021-07-31,2021,7,31
2021-08-02,2021,8,2
2021-08-15,2021,8,15
2021-08-18,2021,8,18
2021-08-23,2021,8,23
2021-08-30,2021,8,30
2021-08-31,2021,8,31
2021-09-05,2021,9,5
2021-09-09,2021,9,9
2021-09-15,2021,9,15
2021-09-30,2021,9,30
2021-10-01,2021,10,1
2021-10-25,2021,10,25
2021-10-29,2021,10,29
2021-10-31,2021,10,31
2021-11-03,2021,11,3
2021-11-15,2021,11,15
2021-11-16,2021,11,16
2021-11-30,2021,11,30
2021-12-01,2021,12,1
2021-12-03,2021,12,3
2021-12-04,2021,12,4
2021-12-07,2021,12,7
2021-12-09,2021,12,9
2021-12-11,2021,12,11
2021-12-12,2021,12,12
2021-12-15,2021,12,15
2021-12-16,2021,12,16
2021-12-17,2021,12,17
2021-12-18,2021,12,18
