fecha,año,mes,día
2017-01-23,2017,1,23
2017-01-27,2017,1,27
2017-03-01,2017,3,1
2017-03-30,2017,3,30
2017-04-07,2017,4,7
2017-07-28,2017,7,28
2017-10-04,2017,10,4
2017-10-13,2017,10,13
2017-12-01,2017,12,1
2017-12-20,2017,12,20
2018-01-05,2018,1,5
2018-01-09,2018,1,9
2018-01-10,2018,1,10
2018-01-12,2018,1,12
2018-01-15,2018,1,15
2018-01-16,2018,1,16
2018-01-19,2018,1,19
2018-01-20,2018,1,20
2018-01-25,2018,1,25
2018-01-26,2018,1,26
2018-01-29,2018,1,29
2018-02-01,2018,2,1
2018-02-08,2018,2,8
2018-03-01,2018,3,1
2018-03-05,2018,3,5
2018-03-12,2018,3,12
2018-03-14,2018,3,14
2018-03-28,2018,3,28
2018-05-18,2018,5,18
2018-06-01,2018,6,1
2018-06-12,2018,6,12
2018-06-22,2018,6,22
2018-06-26,2018,6,26
2018-06-27,2018,6,27
2018-07-04,2018,7,4
2018-07-09,2018,7,9
2018-07-17,2018,7,17
2018-08-01,2018,8,1
2018-08-10,2018,8,10
2018-08-14,2018,8,14
2018-08-20,2018,8,20
2018-08-24,2018,8,24
2018-08-31,2018,8,31
2018-09-06,2018,9,6
2018-09-17,2018,9,17
2018-09-20,2018,9,20
2018-10-01,2018,10,1
2018-10-08,2018,10,8
2018-10-16,2018,10,16
2018-11-06,2018,11,6
2018-11-16,2018,11,16
2018-11-27,2018,11,27
2018-11-30,2018,11,30
2018-12-01,2018,12,1
2018-12-05,2018,12,5
2018-12-19,2018,12,19
2019-01-17,2019,1,17
2019-01-18,2019,1,18
2019-01-21,2019,1,21
2019-01-25,2019,1,25
2019-01-28,2019,1,28
2019-01-31,2019,1,31
2019-02-01,2019,2,1
2019-02-04,2019,2,4
2019-02-05,2019,2,5
2019-02-06,2019,2,6
2019-02-08,2019,2,8
2019-02-12,2019,2,12
2019-02-13,2019,2,13
2019-02-15,2019,2,15
2019-02-25,2019,2,25
2019-02-26,2019,2,26
2019-02-27,2019,2,27
2019-03-01,2019,3,1
2019-03-04,2019,3,4
2019-03-05,2019,3,5
2019-03-06,2019,3,6
2019-03-19,2019,3,19
2019-04-15,2019,4,15
2019-06-26,2019,6,26
2019-10-22,2019,10,22
2019-10-30,2019,10,30
2020-01-10,2020,1,10
2020-01-15,2020,1,15
2020-01-17,2020,1,17
2020-01-20,2020,1,20
2020-01-24,2020,1,24
2020-01-27,2020,1,27
2020-01-30,2020,1,30
2020-02-01,2020,2,1
2020-02-03,2020,2,3
2020-02-04,2020,2,4
2020-02-05,2020,2,5
