id_geografia,departamento,ciudad
8d4a9aca-7951-4d50-a472-ec778b6954a3,Risaralda,Pereira
c22b8178-105e-4a68-a9d5-910abec82288,Tolima,Ibagué
ea1a7fba-391f-4b12-bf90-c0bf60a97f98,Caquetá,No Definido
2123e4b6-ba3d-404a-b876-d2a6d6bf479d,Meta,No Definido
2ebec8ce-1bba-4158-a8c0-477b0566c7e4,Distrito Capital de Bogotá,Bogotá
bf616f88-056c-4bca-a515-0ed261725586,Cundinamarca,Sibaté
6120cdee-08be-489e-aac7-71f6a27a8a64,Antioquia,No Definido
1b168a76-ea39-4d85-87a8-118397e32a87,Norte de Santander,Cúcuta
78033663-c5aa-4d4c-b2a7-e6ee5ae34be6,Norte de Santander,Pamplonita
74189036-c970-408f-a469-c89326f0053c,Antioquia,Medellín
4cb9fd92-04b7-4c9b-943d-310bb4c7497d,Valle del Cauca,Cali
39d192a9-2ad0-49aa-89f9-814741e42b41,Casanare,Yopal
a412d37a-e686-4011-9e1a-fc79864e8d09,Cesar,Valledupar
a5271fd0-944e-43d8-8d6e-c57b6393264f,Nariño,Pasto
ffc2668b-f8db-463c-8e84-b711e8efaeca,Putumayo,Mocoa
4998f3d2-17f1-4536-bdc1-60fe32d248df,Bolívar,Cartagena
9a995424-6ec0-4e27-8378-0c1b7f7854e2,Cundinamarca,Soacha
aaeee79e-d91d-4208-819f-ffe71308cdb0,Huila,No Definido
a96aa6a9-1574-4818-979a-69b20a161641,Distrito Capital de Bogotá,No Definido
614c3429-0a87-45ef-86eb-cb7e3f3be978,Boyacá,Tunja
5cfa4576-7b2c-43ad-826a-9223f00b8d30,Valle del Cauca,No Definido
9bbbd0c0-8341-4b62-a5f6-0b08d2bcf864,Santander,Bucaramanga
7228f39d-ed2e-46e1-b235-3e042cb5ee1c,Magdalena,Santa Marta
c535bcfc-967d-448d-b42d-6e114488a43d,Caldas,Manizales
4881c84d-f1ff-453b-bfcb-79e188b92392,Sucre,Sincelejo
a7c3cfa0-1de5-4062-86d3-f2388b7d9da0,Atlántico,Soledad
b90d289c-d5e3-44a8-bbb5-19a186059b5b,No Definido,No Definido
031e43fa-6298-430b-a7f5-a5efdb59960a,Boyacá,Villa De Leyva
d5c7f33f-2fad-4384-ae55-03df5d586308,Bolívar,Simití
49c7dd73-87b5-4f14-95dc-a72606a9488e,Boyacá,No Definido
76779e93-322f-449a-91f7-61e866520d34,Atlántico,Barranquilla
a68780d3-1eee-4d10-ad28-6debbe1dc17b,Nariño,No Definido
634f0102-505e-4e1e-b135-92a6a714e8a9,Antioquia,Envigado
be7dee15-8451-47c2-85dc-4847884e2879,Antioquia,Bello
843638ab-3dbe-486f-b8dc-537290b040bd,Nariño,Ipiales
fd62129a-f465-4ed7-8046-6465c5c1e45a,Cundinamarca,No Definido
0049e632-4aad-4419-be84-3d048375771f,Valle del Cauca,Florida
6ad60fca-19c3-4a23-a51a-a1e878813de8,Cundinamarca,Gachala
c0aafca6-6ba4-419b-98d6-d1eae249af3f,Antioquia,Carolina
d85023ac-9a73-46be-b213-9d0db20746e8,Antioquia,Apartadó
49967914-a776-4124-b7f1-a066605a6538,Antioquia,Santafé De Antioquia
80cd8074-9e8f-43b3-ae0b-c9ca8450129e,Chocó,Quibdó
f5178010-505c-464a-bf33-86214c864134,Cauca,Popayán
29895b1c-6950-403d-81cf-0ccb21817260,Tolima,Espinal
f21246f3-769b-45f8-9fc2-0611d21c46d3,"San Andrés, Providencia y Santa Catalina",San Andrés
0a60996d-0634-4867-9b22-59af417a9ee6,Meta,Villavicencio
b722351d-eb26-4348-a145-7636a8630fb8,Córdoba,Montería
deff0a77-798a-41a6-a41c-0c4af5ac55d4,Bolívar,Magangué
89487773-9fb8-41f8-851e-3c05a9f7e024,Cundinamarca,Chía
1885c24e-4495-416f-9a43-f5cc0f34e6cd,Cundinamarca,Tocancipá
657058f0-b0ee-469c-8ae2-b772f3d572aa,Cesar,Becerril
6550d0e2-4a3b-4a58-893b-025b683133db,Caquetá,Florencia
f13617b3-c909-44ba-8b0c-e733414a9af5,Antioquia,Sabaneta
13dca023-b993-445d-bad8-8dadb8a188dc,Risaralda,Santa Rosa De Cabal
dff87bc3-e850-4449-978d-584f7e2cb024,Antioquia,Rionegro
2b480124-8ba9-4148-b8a3-28872b62fdc1,Tolima,No Definido
8a484baa-6bd0-4cfd-b7dc-baa19e2ab3e0,Santander,Rionegro
ae70d6e6-81b5-438b-ab6f-a64dbd80127b,Valle del Cauca,Jamundí
6d4e0696-81c9-442f-9717-b8f3168b56a1,Norte de Santander,Villa Del Rosario
d309c0de-4089-4dc6-8ae6-6fa6e3864996,Quindío,Armenia
e0d5f53b-2adb-4a68-b62b-2e21dc2f17f8,Arauca,Arauca
7f92f68f-6abf-424b-8c26-cb10ade07e71,Valle del Cauca,Guadalajara De Buga
bf404d93-1fb9-40db-a435-c4d0196ae095,Atlántico,No Definido
1ec5a16a-c3bd-4566-9ced-ff6776466d84,Cundinamarca,Simijaca
010db5b8-d7ae-4d82-b640-44c6c7ea2f09,Antioquia,Hispania
