id_contrato,id_geografia,id_cuenta,id_detalles,id_representante,id_caracteristicas_generales,id_proveedor,id_fecha_firma,id_fecha_inicio,id_fecha_fin,valor_contrato,valor_pago_adelantado,valor_facturado,valor_pendiente_de_pago,valor_pagado,valor_amortizado,valor_pendiente_de,valor_pendiente_de_ejecucion,saldo_cdp,saldo_vigencia
CO1.PCCNTR.8560835,8d4a9aca-7951-4d50-a472-ec778b6954a3,6a00eca4-74a7-458f-969d-d691b7ccfcdd,13031438-7545-46b7-866d-489fe3cd1df9,c628973e-918f-4824-b491-7aa52f15a195,1,702951591,2025-11-07,2025-11-07,2025-12-06,23076923,0,15000000,8076923,15000000,0,0,8076923,0,0
CO1.PCCNTR.5846057,c22b8178-105e-4a68-a9d5-910abec82288,7e049f8f-652f-4781-8f08-95eb6fb270b2,1dd1e1a0-7392-4979-9537-fc0339150fef,300a03e6-731a-4b91-b3ce-5d7dc1c2664b,2,711134106,2024-01-31,2024-02-01,2024-12-13,46532667,0,46532667,0,46532667,0,0,0,3493699470,0
CO1.PCCNTR.1839307,ea1a7fba-391f-4b12-bf90-c0bf60a97f98,52860ed4-d749-44e2-9d6e-194389ae7c85,0ffaf4b5-bb6b-4893-a6fc-6d8eb21274e9,94f96d5b-96a5-4d4b-9522-c29c7f50a4a1,3,710003146,2020-09-17,2020-09-17,2020-12-30,23870000,0,23870000,0,23870000,0,0,0,0,0
CO1.PCCNTR.8627960,2123e4b6-ba3d-404a-b876-d2a6d6bf479d,ccc2b640-97a8-4939-a876-28d47d46a0cf,6e38f0ec-2a95-4489-9adb-dd34d7533b42,22afdb83-2420-4cda-ba15-192524dd3f02,4,722154051,2025-11-24,2025-11-26,2025-12-12,33000000,0,32999204,33000000,0,0,0,33000000,0,0
CO1.PCCNTR.7096520,2ebec8ce-1bba-4158-a8c0-477b0566c7e4,d98175a9-c819-4d2b-bf1e-56505ef597ba,7d97dfa5-9a99-4408-9a18-9fbae40f0a58,f60502e1-235e-4dd1-82a9-b463df452fc8,3,724509872,2024-12-03,2024-12-06,2024-12-31,9000000,0,0,9000000,0,0,0,9000000,13500000,0
CO1.PCCNTR.7493729,bf616f88-056c-4bca-a515-0ed261725586,6d2d9867-3947-4b69-a550-8d42c9db5d33,98032492-7b62-4bb2-bad1-128ce226e2ec,62452734-fb6b-4742-adb0-f3ab59cc9309,3,725192116,2025-02-14,2025-02-18,2025-12-17,19133000,0,19133000,2997503,16135497,0,0,2997503,0,0
CO1.PCCNTR.8806138,6120cdee-08be-489e-aac7-71f6a27a8a64,437a1175-2ef6-4c07-8db2-2c1dec623d43,05c515d4-ab98-4f61-95af-f3d48788dd18,379b528b-ac4a-49c6-9d30-30affb5cc811,1,729402412,2026-01-13,2026-01-13,2026-12-12,24277326,0,0,24277326,0,0,0,24277326,0,0
CO1.PCCNTR.9077677,1b168a76-ea39-4d85-87a8-118397e32a87,a868fe73-15b6-46f7-b73d-2aa38825ff7a,380d0891-9a5b-499c-bd42-3d70263571f2,623a2a60-09f5-470f-b0f0-326641475f62,3,703890046,2026-01-23,2026-01-28,2026-09-12,27562500,0,3675000,23887500,3675000,0,0,23887500,0,0
CO1.PCCNTR.7906666,78033663-c5aa-4d4c-b2a7-e6ee5ae34be6,e3fe0419-5699-42bc-b3d9-933c2333eab0,4b185bc1-f87b-4f7f-801d-fbe59d89db7f,ea640f34-8741-4302-8073-4e3a31e6c0b6,3,731584181,2025-05-22,2025-05-23,2025-07-22,5000000,0,0,5000000,0,0,0,5000000,0,0
CO1.PCCNTR.2728231,74189036-c970-408f-a469-c89326f0053c,f3ef024e-409e-4059-bf30-c32fd8293c5b,6700275a-a20a-475c-acc4-2facba13e173,9a84e88f-a640-4011-85bb-359d5b01405b,1,713696672,2021-08-03,2021-08-03,2021-12-30,38740000,0,0,38740000,0,0,0,38740000,38740000,0
CO1.PCCNTR.3318987,2ebec8ce-1bba-4158-a8c0-477b0566c7e4,c8d9beba-a870-478f-9b44-8acd1c155460,c125e2d2-090d-4b79-a9be-7dc75ffa9f2c,12d93ac0-d502-4c08-bc65-aa5d0ae8c70d,5,712881960,2022-01-25,2022-01-26,2022-12-30,38986667,0,0,38986667,0,0,0,38986667,3384450000,0
CO1.PCCNTR.8415520,4cb9fd92-04b7-4c9b-943d-310bb4c7497d,74c1cd38-cd61-44db-8eec-646e71cce4e1,e70d9c84-44d3-40ec-86d1-bb606f1fb507,64da76f5-63cd-4868-bff8-8d98888ee23c,1,705583771,2025-10-07,2025-10-08,2025-12-30,8055000,0,0,8055000,0,0,0,8055000,0,0
CO1.PCCNTR.872015,39d192a9-2ad0-49aa-89f9-814741e42b41,3b58aa72-28af-4884-8077-7e6ebeb46837,a5be0c66-922a-4df5-bd42-68f401c6b194,8f893df6-4e37-4f20-a1e1-82542343ccbc,3,706696069,2019-03-05,2019-03-06,2019-12-20,35112000,0,35112000,9230944,25881055,0,0,9230944,0,0
